,park_name,scientific_name,common_names,category,observations,genus,conservation_status
4833,Bryce National Park,Scirpus microcarpus,Panicled Bulrush,Vascular Plant,95,Scirpus,
4834,Bryce National Park,Scirpus pendulus,Rufous Bulrush,Vascular Plant,101,Scirpus,
4835,Bryce National Park,Scirpus polyphyllus,Leafy Bulrush,Vascular Plant,69,Scirpus,
4836,Bryce National Park,Scirpus purshianus,Bulrush,Vascular Plant,101,Scirpus,
4837,Bryce National Park,Scirpus tabernaemontani,Great Bulrush,Vascular Plant,105,Scirpus,
4838,Bryce National Park,Sciurus carolinensis,Eastern Gray Squirrel,Mammal,69,Sciurus,
4839,Bryce National Park,Sciurus griseus,Western Gray Squirrel,Mammal,84,Sciurus,
4840,Bryce National Park,Sciurus niger,Eastern Fox Squirrel,Mammal,94,Sciurus,
4841,Bryce National Park,Scleranthus annuus,German Knotgrass,Vascular Plant,99,Scleranthus,
4842,Bryce National Park,Scleria oligantha,Little-Headed Nutrush,Vascular Plant,121,Scleria,
4843,Bryce National Park,Scleria pauciflora,Fewflower Nutrush,Vascular Plant,127,Scleria,
4844,Bryce National Park,Scleria triglomerata,Nut-Rush,Vascular Plant,90,Scleria,
4845,Bryce National Park,Sclerolinon digynum,Digynum Flax,Vascular Plant,116,Sclerolinon,
4846,Bryce National Park,Scolochloa festucacea,Common Rivergrass,Vascular Plant,97,Scolochloa,
4847,Bryce National Park,Scolopax minor,American Woodcock,Bird,106,Scolopax,
4848,Bryce National Park,Scopelophila ligulata,Copper Moss,Nonvascular Plant,90,Scopelophila,
4849,Bryce National Park,Scribneria bolanderi,Scribner's Grass,Vascular Plant,95,Scribneria,
4850,Bryce National Park,Scrophularia californica ssp. floribunda,California Figwort,Vascular Plant,93,Scrophularia,
4851,Bryce National Park,Scrophularia desertorum,Desert Figwort,Vascular Plant,52,Scrophularia,
4852,Bryce National Park,Scrophularia lanceolata,Lanceleaf Figwort,Vascular Plant,96,Scrophularia,
4853,Bryce National Park,Scrophularia marilandica,Carpenter's Square Figwort,Vascular Plant,89,Scrophularia,
4854,Bryce National Park,Scutellaria bolanderi ssp. bolanderi,Sierra Skullcap,Vascular Plant,98,Scutellaria,
4855,Bryce National Park,Scutellaria elliptica,Hairy Skullcap,Vascular Plant,52,Scutellaria,
4856,Bryce National Park,Scutellaria elliptica var. elliptica,Hairy Skullcap,Vascular Plant,98,Scutellaria,
4857,Bryce National Park,Scutellaria elliptica var. hirsuta,Hairy Skullcap,Vascular Plant,114,Scutellaria,
4858,Bryce National Park,Scutellaria galericulata,Hooded Skullcap,Vascular Plant,65,Scutellaria,
4859,Bryce National Park,Scutellaria incana,Downy Skullcap,Vascular Plant,73,Scutellaria,
4860,Bryce National Park,Scutellaria incana var. incana,Hoary Skullcap,Vascular Plant,90,Scutellaria,
4861,Bryce National Park,Scutellaria incana var. punctata,Hoary Skullcap,Vascular Plant,77,Scutellaria,
4862,Bryce National Park,Scutellaria integrifolia,Entire-Leaved Skullcap,Vascular Plant,77,Scutellaria,
4863,Bryce National Park,Scutellaria lateriflora,Mad Dog Skullcap,Vascular Plant,116,Scutellaria,
4864,Bryce National Park,Scutellaria ovata,Heart-Leaved Skullcap,Vascular Plant,100,Scutellaria,
4865,Bryce National Park,Scutellaria saxatilis,Rock Skullcap,Vascular Plant,104,Scutellaria,
4866,Bryce National Park,Scutellaria serrata,Showy Skullcap,Vascular Plant,54,Scutellaria,
4867,Bryce National Park,Scutellaria siphocampyloides,Grayleaf Skullcap,Vascular Plant,102,Scutellaria,
4868,Bryce National Park,Scutellaria tuberosa,Danny's Skullcap,Vascular Plant,97,Scutellaria,
4869,Bryce National Park,Secale cereale,Cereal Rye,Vascular Plant,198,Secale,
4870,Bryce National Park,Secale cereale,Cultivated Rye,Vascular Plant,198,Secale,
4871,Bryce National Park,Sedum acre,Gold-Moss,Vascular Plant,115,Sedum,
4872,Bryce National Park,Sedum integrifolium,Ledge Stonecrop,Vascular Plant,79,Sedum,
4873,Bryce National Park,Sedum lanceolatum,Lanceleaf Stonecrop,Vascular Plant,108,Sedum,
4874,Bryce National Park,Sedum obtusatum ssp. obtusatum,Sierra Stonecrop,Vascular Plant,105,Sedum,
4875,Bryce National Park,Sedum pulchellum,Widowscross,Vascular Plant,109,Sedum,
4876,Bryce National Park,Sedum radiatum,Coast Range Stonecrop,Vascular Plant,79,Sedum,
4877,Bryce National Park,Sedum rhodanthum,Redpod Stonecrop,Vascular Plant,110,Sedum,
4878,Bryce National Park,Sedum sarmentosum,Stonecrop,Vascular Plant,142,Sedum,
4879,Bryce National Park,Sedum spathulifolium,Broadleaf Stonecrop,Vascular Plant,119,Sedum,Species of Concern
4880,Bryce National Park,Sedum spectabile,Showy Stonecrop,Vascular Plant,108,Sedum,
4881,Bryce National Park,Sedum stenopetalum,Wormleaf Stonecrop,Vascular Plant,119,Sedum,
4882,Bryce National Park,Sedum telephium,Garden Stonecrop,Vascular Plant,103,Sedum,
4883,Bryce National Park,Sedum ternatum,Wild Stonecrop,Vascular Plant,111,Sedum,
4884,Bryce National Park,Seiurus aurocapilla,Ovenbird,Bird,86,Seiurus,
4885,Bryce National Park,Seiurus aurocapillus,Ovenbird,Bird,131,Seiurus,
4886,Bryce National Park,Seiurus motacilla,Louisiana Waterthrush,Bird,64,Seiurus,
4887,Bryce National Park,Seiurus noveboracensis,Northern Waterthrush,Bird,118,Seiurus,
4888,Bryce National Park,Selaginella apoda,Meadow Spike-Moss,Vascular Plant,119,Selaginella,
4889,Bryce National Park,Selaginella densa var. densa,Dense Spikemoss,Vascular Plant,103,Selaginella,
4890,Bryce National Park,Selaginella densa var. scopulorum,Rocky Mountain Clubmoss,Vascular Plant,106,Selaginella,
4891,Bryce National Park,Selaginella hansenii,Hansen's Spikemoss,Vascular Plant,97,Selaginella,
4892,Bryce National Park,Selaginella rupestris,Northern Selaginella,Vascular Plant,108,Selaginella,
4893,Bryce National Park,Selaginella selaginoides,Club Spikemoss,Vascular Plant,93,Selaginella,
4894,Bryce National Park,Selaginella watsonii,Alpine Spikemoss,Vascular Plant,123,Selaginella,
4895,Bryce National Park,Selasphorus calliope,Calliope Hummingbird,Bird,83,Selasphorus,
4896,Bryce National Park,Selasphorus platycercus,Broad-Tailed Hummingbird,Bird,102,Selasphorus,
4897,Bryce National Park,Selasphorus rufus,Rufous Hummingbird,Bird,106,Selasphorus,
4898,Bryce National Park,Selasphorus sasin,Allen's Hummingbird,Bird,73,Selasphorus,
4899,Bryce National Park,Seligeria recurvata,Recurved Small Limestone Moss,Nonvascular Plant,87,Seligeria,
4900,Bryce National Park,Sematophyllum adnatum,Sematophyllum Moss,Nonvascular Plant,100,Sematophyllum,
4901,Bryce National Park,Sematophyllum demissum,Sematophyllum Moss,Nonvascular Plant,109,Sematophyllum,
4902,Bryce National Park,Sematophyllum marylandicum,Maryland Sematophyllum Moss,Nonvascular Plant,102,Sematophyllum,
4903,Bryce National Park,Semotilus atromaculatus,Creek Chub,Fish,94,Semotilus,
4904,Bryce National Park,Senecio anonymus,Small's Ragwort,Vascular Plant,125,Senecio,
4905,Bryce National Park,Senecio aronicoides,Rayless Ragwort,Vascular Plant,105,Senecio,
4906,Bryce National Park,Senecio aureus,Golden Ragwort,Vascular Plant,95,Senecio,
4907,Bryce National Park,Senecio canus,Woolly Groundsel,Vascular Plant,69,Senecio,
4908,Bryce National Park,Senecio clarkianus,Clark's Ragwort,Vascular Plant,70,Senecio,
4909,Bryce National Park,Senecio crassulus,Meadow Groundsel,Vascular Plant,86,Senecio,
4910,Bryce National Park,Senecio flaccidus var. douglasii,Douglas' Groundsel,Vascular Plant,95,Senecio,
4911,Bryce National Park,Senecio fremontii var. fremontii,Dwarf Mountain Ragwort,Vascular Plant,105,Senecio,
4912,Bryce National Park,Senecio fremontii var. occidentalis,Dwarf Mountain Ragwort,Vascular Plant,119,Senecio,
4913,Bryce National Park,Senecio hydrophilus,Alkali Marsh Groundsel,Vascular Plant,104,Senecio,
4914,Bryce National Park,Senecio integerrimus var. exaltatus,Columbia Groundsel,Vascular Plant,97,Senecio,
4915,Bryce National Park,Senecio integerrimus var. major,Lambstongue Groundsel,Vascular Plant,106,Senecio,
4916,Bryce National Park,Senecio jacobaea,Ragwort,Vascular Plant,84,Senecio,
4917,Bryce National Park,Senecio lugens,Small Blacktip Ragwort,Vascular Plant,77,Senecio,
4918,Bryce National Park,Senecio obovatus,Round-Leaf Groundsel,Vascular Plant,120,Senecio,
4919,Bryce National Park,Senecio pauciflorus,Alpine Groundsel,Vascular Plant,106,Senecio,
4920,Bryce National Park,Senecio pseudaureus var. pseudaureus,Falsegold Groundsel,Vascular Plant,111,Senecio,
4921,Bryce National Park,Senecio scorzonella,Sierra Groundsel,Vascular Plant,83,Senecio,
4922,Bryce National Park,Senecio serra var. serra,Tall Groundsel,Vascular Plant,89,Senecio,
4923,Bryce National Park,Senecio sphaerocephalus,Ballhead Ragwort,Vascular Plant,100,Senecio,
4924,Bryce National Park,Senecio streptanthifolius,Cleftleaf Groundsel,Vascular Plant,119,Senecio,
4925,Bryce National Park,Senecio triangularis,Arrowleaf Groundsel,Vascular Plant,117,Senecio,
4926,Bryce National Park,Senecio vulgaris,Common Groundsel,Vascular Plant,129,Senecio,
4927,Bryce National Park,Senecio werneriifolius,Hoary Groundsel,Vascular Plant,107,Senecio,
4928,Bryce National Park,Senna hebecarpa,Tall Partridge-Pea,Vascular Plant,113,Senna,
4929,Bryce National Park,Senna marilandica,Maryland Senna,Vascular Plant,84,Senna,
4930,Bryce National Park,Senna obtusifolia,Java-Bean,Vascular Plant,128,Senna,
4931,Bryce National Park,Sequoiadendron giganteum,Giant Redwood,Vascular Plant,121,Sequoiadendron,
4932,Bryce National Park,Sericocarpus asteroides,Toothed Whitetop Aster,Vascular Plant,80,Sericocarpus,
4933,Bryce National Park,Sericocarpus linifolius,Narrowleaf Whitetop Aster,Vascular Plant,145,Sericocarpus,
4934,Bryce National Park,Setaria faberi,Foxtail,Vascular Plant,80,Setaria,
4935,Bryce National Park,Setaria italica,Italian Foxtail,Vascular Plant,91,Setaria,
4936,Bryce National Park,Setaria parviflora,Bent Foxtail,Vascular Plant,88,Setaria,
4937,Bryce National Park,Setaria pumila,Cattail Grass,Vascular Plant,173,Setaria,
4938,Bryce National Park,Setaria pumila,Glaucous Foxtail,Vascular Plant,173,Setaria,
4939,Bryce National Park,Setaria viridis,Bottle Grass,Vascular Plant,194,Setaria,
4940,Bryce National Park,Setaria viridis,Green Bristle Grass,Vascular Plant,194,Setaria,
4941,Bryce National Park,Setaria viridis var. major,Green Bristlegrass,Vascular Plant,95,Setaria,
4942,Bryce National Park,Setaria viridis var. viridis,Green Bristlegrass,Vascular Plant,101,Setaria,
4943,Bryce National Park,Setophaga americana,Northern Parula,Bird,120,Setophaga,
4944,Bryce National Park,Setophaga castanea,Bay-Breasted Warbler,Bird,91,Setophaga,
4945,Bryce National Park,Setophaga cerulea,Cerulean Warbler,Bird,108,Setophaga,
4946,Bryce National Park,Setophaga citrina,Hooded Warbler,Bird,87,Setophaga,
4947,Bryce National Park,Setophaga coronata,Yellow-Rumped Warbler,Bird,120,Setophaga,
4948,Bryce National Park,Setophaga coronata auduboni,Audubon's Warbler,Bird,99,Setophaga,
4949,Bryce National Park,Setophaga coronata coronata,Myrtle Warbler (Yellow-Rumped),Bird,124,Setophaga,
4950,Bryce National Park,Setophaga discolor,Prairie Warbler,Bird,97,Setophaga,
4951,Bryce National Park,Setophaga dominica,Yellow-Throated Warbler,Bird,81,Setophaga,
4952,Bryce National Park,Setophaga fusca,Blackburnian Warbler,Bird,81,Setophaga,
4953,Bryce National Park,Setophaga magnolia,Magnolia Warbler,Bird,99,Setophaga,
4954,Bryce National Park,Setophaga nigrescens,Black-Throated Gray Warbler,Bird,129,Setophaga,
4955,Bryce National Park,Setophaga occidentalis,Hermit Warbler,Bird,83,Setophaga,
4956,Bryce National Park,Setophaga palmarum,Palm Warbler,Bird,92,Setophaga,
4957,Bryce National Park,Setophaga pensylvanica,Chestnut-Sided Warbler,Bird,102,Setophaga,
4958,Bryce National Park,Setophaga petechia,Yellow Warbler,Bird,134,Setophaga,
4959,Bryce National Park,Setophaga ruticilla,American Redstart,Bird,124,Setophaga,
4960,Bryce National Park,Setophaga striata,Blackpoll Warbler,Bird,92,Setophaga,
4961,Bryce National Park,Setophaga tigrina,Cape May Warbler,Bird,122,Setophaga,
4962,Bryce National Park,Setophaga townsendi,Townsend's Warbler,Bird,79,Setophaga,
4963,Bryce National Park,Shepherdia canadensis,Russet Buffaloberry,Vascular Plant,66,Shepherdia,
4964,Bryce National Park,Sherardia arvensis,Field Madder,Vascular Plant,81,Sherardia,
4965,Bryce National Park,Shortia galacifolia,Oconee Bells,Vascular Plant,111,Shortia,
4966,Bryce National Park,Sialia currucoides,Mountain Bluebird,Bird,78,Sialia,
4967,Bryce National Park,Sialia mexicana,Western Bluebird,Bird,94,Sialia,
4968,Bryce National Park,Sialia sialis,Eastern Bluebird,Bird,128,Sialia,
4969,Bryce National Park,Sibara virginica,Sibara,Vascular Plant,76,Sibara,
4970,Bryce National Park,Sibbaldia procumbens,Creeping Sibbaldia,Vascular Plant,112,Sibbaldia,
4971,Bryce National Park,Sibbaldiopsis tridentata,Shrubby Fivefingers,Vascular Plant,115,Sibbaldiopsis,
4972,Bryce National Park,Sicyos angulatus,Bur Cucumber,Vascular Plant,112,Sicyos,
4973,Bryce National Park,Sida hermaphrodita,Virginia Fanpetals,Vascular Plant,104,Sida,
4974,Bryce National Park,Sida spinosa,Prickly Mallow,Vascular Plant,84,Sida,
4975,Bryce National Park,Sidalcea glaucescens,Waxy Checkerbloom,Vascular Plant,66,Sidalcea,
4976,Bryce National Park,Sidalcea malviflora ssp. asprella,Dwarf Checkerbloom,Vascular Plant,89,Sidalcea,
4977,Bryce National Park,Sidalcea reptans,Sierra Checkerbloom,Vascular Plant,113,Sidalcea,
4978,Bryce National Park,Silene acaulis var. subacaulescens,Moss Campion,Vascular Plant,138,Silene,
4979,Bryce National Park,Silene antirrhina,Catchfly,Vascular Plant,221,Silene,
4980,Bryce National Park,Silene antirrhina,Sleepy Catchfly,Vascular Plant,221,Silene,
4981,Bryce National Park,Silene armeria,Sweet William Silene,Vascular Plant,122,Silene,
4982,Bryce National Park,Silene bernardina,Palmer's Campion,Vascular Plant,118,Silene,
4983,Bryce National Park,Silene bridgesii,Bridges' Catchfly,Vascular Plant,95,Silene,
4984,Bryce National Park,Silene californica,Indian Pink,Vascular Plant,116,Silene,
4985,Bryce National Park,Silene dichotoma,Dichotoma Silene,Vascular Plant,139,Silene,
4986,Bryce National Park,Silene drummondii var. drummondii,Drummond's Campion,Vascular Plant,85,Silene,
4987,Bryce National Park,Silene gallica,Common Catchfly,Vascular Plant,80,Silene,
4988,Bryce National Park,Silene hitchguirei,Apetalous Catchfly,Vascular Plant,90,Silene,
4989,Bryce National Park,Silene latifolia,Bladder Campion,Vascular Plant,115,Silene,
4990,Bryce National Park,Silene latifolia ssp. alba,Bladder Campion,Vascular Plant,212,Silene,
4991,Bryce National Park,Silene latifolia ssp. alba,Bladder Campion,Vascular Plant,212,Silene,
4992,Bryce National Park,Silene lemmonii,Lemmon's Catchfly,Vascular Plant,121,Silene,
4993,Bryce National Park,Silene menziesii,Menzies' Campion,Vascular Plant,108,Silene,
4994,Bryce National Park,Silene menziesii var. menziesii,Menzies' Campion,Vascular Plant,89,Silene,
4995,Bryce National Park,Silene menziesii var. viscosa,Menzies' Campion,Vascular Plant,84,Silene,
4996,Bryce National Park,Silene noctiflora,Nightflowering Silene,Vascular Plant,112,Silene,
4997,Bryce National Park,Silene oregana,Oregon Campion,Vascular Plant,123,Silene,
4998,Bryce National Park,Silene ovata,Mountain Catchfly,Vascular Plant,100,Silene,
4999,Bryce National Park,Silene parryi,Parry's Silene,Vascular Plant,114,Silene,
5000,Bryce National Park,Silene rotundifolia,Roundleaf Catchfly,Vascular Plant,110,Silene,
5001,Bryce National Park,Silene sargentii,Sargent's Campion,Vascular Plant,107,Silene,
5002,Bryce National Park,Silene stellata,Starry Campion,Vascular Plant,98,Silene,
5003,Bryce National Park,Silene virginica,Fire Pink,Vascular Plant,89,Silene,
5004,Bryce National Park,Silene vulgaris,Bladder Campion,Vascular Plant,213,Silene,
5005,Bryce National Park,Silene vulgaris,Bladder Campion,Vascular Plant,213,Silene,
5006,Bryce National Park,Silphium asteriscus,Starry Rosinweed,Vascular Plant,89,Silphium,
5007,Bryce National Park,Silphium asteriscus var. asteriscus,Rosin-Weed,Vascular Plant,116,Silphium,
5008,Bryce National Park,Silphium asteriscus var. laevicaule,Rosin-Weed,Vascular Plant,97,Silphium,
5009,Bryce National Park,Silphium compositum,Kindey-Leaf Rosin-Weed,Vascular Plant,122,Silphium,
5010,Bryce National Park,Silphium trifoliatum var. trifoliatum,Whorled Rosinweed,Vascular Plant,98,Silphium,
5011,Bryce National Park,Sinapis arvensis,Charlock,Vascular Plant,91,Sinapis,
5012,Bryce National Park,Sisymbrium altissimum,Jim Hill Mustard,Vascular Plant,118,Sisymbrium,
5013,Bryce National Park,Sisymbrium loeselii,False London Rocket,Vascular Plant,108,Sisymbrium,
5014,Bryce National Park,Sisymbrium officinale,Hairy-Pod Hedgemustard,Vascular Plant,231,Sisymbrium,
5015,Bryce National Park,Sisymbrium officinale,Hairypod Hedgemustard,Vascular Plant,231,Sisymbrium,
5016,Bryce National Park,Sisyrinchium albidum,White Blueeyed Grass,Vascular Plant,118,Sisyrinchium,
5017,Bryce National Park,Sisyrinchium angustifolium,Blue-Eyed Grass,Vascular Plant,117,Sisyrinchium,
5018,Bryce National Park,Sisyrinchium atlanticum,Atlantic Blue-Eyed Grass,Vascular Plant,72,Sisyrinchium,
5019,Bryce National Park,Sisyrinchium bellum,Western Blue-Eyed Grass,Vascular Plant,127,Sisyrinchium,
5020,Bryce National Park,Sisyrinchium elmeri,Elmer's Blueeyed Grass,Vascular Plant,80,Sisyrinchium,
5021,Bryce National Park,Sisyrinchium idahoense var. idahoense,Idaho Blue-Eyed Grass,Vascular Plant,105,Sisyrinchium,
5022,Bryce National Park,Sisyrinchium idahoense var. occidentale,Idaho Blue-Eyed Grass,Vascular Plant,84,Sisyrinchium,
5023,Bryce National Park,Sisyrinchium montanum,Mountain Blueeyed Grass,Vascular Plant,88,Sisyrinchium,
5024,Bryce National Park,Sisyrinchium mucronatum,Blue-Eyed Grass,Vascular Plant,93,Sisyrinchium,
5025,Bryce National Park,Sitta canadensis,Red-Breasted Nuthatch,Bird,78,Sitta,
5026,Bryce National Park,Sitta carolinensis,White-Breasted Nuthatch,Bird,73,Sitta,
5027,Bryce National Park,Sitta pygmaea,Pygmy Nuthatch,Bird,105,Sitta,
5028,Bryce National Park,Sium suave,Common Waterparsnip,Vascular Plant,117,Sium,
5029,Bryce National Park,Smallanthus uvedalius,Hairy Leafcup,Vascular Plant,91,Smallanthus,
5030,Bryce National Park,Smelowskia calycina var. americana,American False Candytuft,Vascular Plant,81,Smelowskia,
5031,Bryce National Park,Smilax biltmoreana,Carrion Flower,Vascular Plant,114,Smilax,
5032,Bryce National Park,Smilax bona-nox,Catbrier,Vascular Plant,85,Smilax,
5033,Bryce National Park,Smilax glauca,Glaucous Catbrier,Vascular Plant,82,Smilax,
5034,Bryce National Park,Smilax herbacea,Carrion Flower,Vascular Plant,126,Smilax,
5035,Bryce National Park,Smilax hugeri,Huger's Carrion Flower,Vascular Plant,84,Smilax,
5036,Bryce National Park,Smilax pulverulenta,Downy Carrionflower,Vascular Plant,118,Smilax,
5037,Bryce National Park,Smilax rotundifolia,Common Greenbrier,Vascular Plant,130,Smilax,
5038,Bryce National Park,Smilax tamnoides,Bristly Greenbrier,Vascular Plant,130,Smilax,
5039,Bryce National Park,Solanum americanum,American Black Nightshade,Vascular Plant,106,Solanum,
5040,Bryce National Park,Solanum carolinense,Carolina Horse-Nettle,Vascular Plant,64,Solanum,
5041,Bryce National Park,Solanum dulcamara,Bitter Nightshade,Vascular Plant,92,Solanum,
5042,Bryce National Park,Solanum lycopersicum var. lycopersicum,Garden Tomato,Vascular Plant,94,Solanum,
5043,Bryce National Park,Solanum parishii,Parish's Nightshade,Vascular Plant,99,Solanum,
5044,Bryce National Park,Solanum ptychanthum,Nightshade,Vascular Plant,92,Solanum,
5045,Bryce National Park,Solanum triflorum,Cutleaf Nightshade,Vascular Plant,98,Solanum,
5046,Bryce National Park,Solanum xanti,Chaparral Nightshade,Vascular Plant,69,Solanum,
5047,Bryce National Park,Solidago,Goldenrod,Vascular Plant,128,Solidago,
5048,Bryce National Park,Solidago altissima,Canada Goldenrod,Vascular Plant,51,Solidago,
5049,Bryce National Park,Solidago arguta,Cutleaf Goldenrod,Vascular Plant,102,Solidago,
5050,Bryce National Park,Solidago arguta var. arguta,Atlantic Goldenrod,Vascular Plant,92,Solidago,
5051,Bryce National Park,Solidago arguta var. caroliniana,Carolina Goldenrod,Vascular Plant,133,Solidago,
5052,Bryce National Park,Solidago bicolor,Silverrod,Vascular Plant,95,Solidago,
5053,Bryce National Park,Solidago caesia,Bluestem Goldenrod,Vascular Plant,117,Solidago,
5054,Bryce National Park,Solidago californica,California Goldenrod,Vascular Plant,118,Solidago,
5055,Bryce National Park,Solidago canadensis var. salebrosa,Canadian Goldenrod,Vascular Plant,130,Solidago,
5056,Bryce National Park,Solidago canadensis var. scabra,Canada Goldenrod,Vascular Plant,115,Solidago,
5057,Bryce National Park,Solidago curtisii,Mountain Decumbent Goldenrod,Vascular Plant,109,Solidago,
5058,Bryce National Park,Solidago erecta,Slender Golden-Rod,Vascular Plant,105,Solidago,
5059,Bryce National Park,Solidago flaccidifolia,Appalachian Golden-Rod,Vascular Plant,119,Solidago,
5060,Bryce National Park,Solidago flexicaulis,A Goldenrod,Vascular Plant,81,Solidago,
5061,Bryce National Park,Solidago gigantea,A Goldenrod,Vascular Plant,228,Solidago,
5062,Bryce National Park,Solidago gigantea,Giant Goldenrod,Vascular Plant,228,Solidago,
5063,Bryce National Park,Solidago glomerata,A Goldenrod,Vascular Plant,114,Solidago,
5064,Bryce National Park,Solidago hispida,Hairy Goldenrod,Vascular Plant,117,Solidago,
5065,Bryce National Park,Solidago juncea,Early Goldenrod,Vascular Plant,106,Solidago,
5066,Bryce National Park,Solidago missouriensis var. missouriensis,Missouri Goldenrod,Vascular Plant,112,Solidago,
5067,Bryce National Park,Solidago multiradiata,Arctic Goldenrod,Vascular Plant,104,Solidago,
5068,Bryce National Park,Solidago multiradiata var. scopulorum,Manyray Goldenrod,Vascular Plant,96,Solidago,
5069,Bryce National Park,Solidago nana,Baby Goldenrod,Vascular Plant,88,Solidago,
5070,Bryce National Park,Solidago nemoralis var. nemoralis,Gray Goldenrod,Vascular Plant,113,Solidago,
5071,Bryce National Park,Solidago odora,Fragrant Goldenrod,Vascular Plant,72,Solidago,
5072,Bryce National Park,Solidago patula,Rough-Leaved Goldenrod,Vascular Plant,136,Solidago,
5073,Bryce National Park,Solidago puberula,Downy Goldenrod,Vascular Plant,63,Solidago,
5074,Bryce National Park,Solidago roanensis,Roan's Goldenrod,Vascular Plant,90,Solidago,
5075,Bryce National Park,Solidago rugosa ssp. aspera,Rough-Stemmed Goldenrod,Vascular Plant,84,Solidago,
5076,Bryce National Park,Solidago speciosa var. erecta,Erect Goldenrod,Vascular Plant,75,Solidago,
5077,Bryce National Park,Solidago speciosa var. rigidiuscula,Showy Goldenrod,Vascular Plant,101,Solidago,
5078,Bryce National Park,Solidago speciosa var. speciosa,Showy Goldenrod,Vascular Plant,142,Solidago,
5079,Bryce National Park,Solidago sphacelata,Autumn Goldenrod,Vascular Plant,71,Solidago,
5080,Bryce National Park,Solidago uliginosa,Bog Goldenrod,Vascular Plant,68,Solidago,
5081,Bryce National Park,Soliva sessilis,Field Burrweed,Vascular Plant,167,Soliva,
5082,Bryce National Park,Soliva sessilis,Field Soliva,Vascular Plant,167,Soliva,
5083,Bryce National Park,Sonchus arvensis,Creeping Sowthistle,Vascular Plant,127,Sonchus,
5084,Bryce National Park,Sonchus arvensis ssp. uliginosus,Moist Sowthistle,Vascular Plant,121,Sonchus,
5085,Bryce National Park,Sonchus asper,Perennial Sowthistle,Vascular Plant,227,Sonchus,
5086,Bryce National Park,Sonchus asper,Spiney-Leaved Sonchus,Vascular Plant,227,Sonchus,
5087,Bryce National Park,Sonchus asper ssp. asper,Spiny Sowthistle,Vascular Plant,124,Sonchus,
5088,Bryce National Park,Sonchus oleraceus,Annual Sowthistle,Vascular Plant,99,Sonchus,
5089,Bryce National Park,Sorbus americana,American Mountain-Ash,Vascular Plant,127,Sorbus,
5090,Bryce National Park,Sorbus aucuparia,European Mountain-Ash,Vascular Plant,127,Sorbus,
5091,Bryce National Park,Sorbus californica,California Mountain-Ash,Vascular Plant,81,Sorbus,
5092,Bryce National Park,Sorbus scopulina var. scopulina,Cascade Mountain-Ash,Vascular Plant,100,Sorbus,
5093,Bryce National Park,Sorbus sitchensis var. grayi,Western Mountain-Ash,Vascular Plant,96,Sorbus,
5094,Bryce National Park,Sorex cinereus,Cinereus Shrew,Mammal,234,Sorex,
5095,Bryce National Park,Sorex cinereus,Common Shrew,Mammal,234,Sorex,
5096,Bryce National Park,Sorex dispar,Long-Tailed Or Rock Shrew,Mammal,123,Sorex,
5097,Bryce National Park,Sorex fumeus,Smoky Shrew,Mammal,101,Sorex,
5098,Bryce National Park,Sorex hoyi,American Pygmy Shrew,Mammal,203,Sorex,
5099,Bryce National Park,Sorex hoyi,Pygmy Shrew,Mammal,203,Sorex,
5100,Bryce National Park,Sorex longirostris,Southeastern Shrew,Mammal,77,Sorex,
5101,Bryce National Park,Sorex lyelli,Mount Lyell Shrew,Mammal,104,Sorex,
5102,Bryce National Park,Sorex monticolus,Dusky Shrew,Mammal,220,Sorex,
5103,Bryce National Park,Sorex monticolus,Montane Shrew,Mammal,220,Sorex,
5104,Bryce National Park,Sorex nanus,Dwarf Shrew,Mammal,89,Sorex,
5105,Bryce National Park,Sorex palustris,American Water Shrew,Mammal,168,Sorex,
5106,Bryce National Park,Sorex palustris,Water Shrew,Mammal,168,Sorex,
5107,Bryce National Park,Sorex preblei,Malheur Shrew,Mammal,71,Sorex,
5108,Bryce National Park,Sorex tenellus,Inyo Shrew,Mammal,130,Sorex,
5109,Bryce National Park,Sorex trowbridgii,Trowbridge's Shrew,Mammal,80,Sorex,
5110,Bryce National Park,Sorghastrum elliottii,Long-Bristled Indian-Grass,Vascular Plant,75,Sorghastrum,
5111,Bryce National Park,Sorghastrum nutans,Indian Grass,Vascular Plant,109,Sorghastrum,
5112,Bryce National Park,Sorghum bicolor,Black Amber,Vascular Plant,108,Sorghum,
5113,Bryce National Park,Sorghum halepense,Johnson Grass,Vascular Plant,47,Sorghum,
5114,Bryce National Park,Sparganium,Burreed,Vascular Plant,85,Sparganium,
5115,Bryce National Park,Sparganium americanum,American Bur-Reed,Vascular Plant,63,Sparganium,
5116,Bryce National Park,Sparganium androcladum,Branching Bur-Reed,Vascular Plant,103,Sparganium,
5117,Bryce National Park,Sparganium angustifolium,Narrowleaf Burr Reed,Vascular Plant,117,Sparganium,
5118,Bryce National Park,Sparganium emersum,European Bur-Reed,Vascular Plant,113,Sparganium,
5119,Bryce National Park,Sparganium emersum ssp. emersum,Emersed Bur-Reed,Vascular Plant,80,Sparganium,
5120,Bryce National Park,Sparganium natans,Small Bur-Reed,Vascular Plant,70,Sparganium,
5121,Bryce National Park,Spartina gracilis,Alkali Cordgrass,Vascular Plant,108,Spartina,
5122,Bryce National Park,Spea bombifrons,Plains Spadefoot,Amphibian,92,Spea,
5123,Bryce National Park,Spea intermontana,Great Basin Spadefoot,Amphibian,60,Spea,
